algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,0,6.340948878747915,0.14725224683061242,2.2788461369276045,0.0,2.639285743832588,2.6395136284828187,3.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,1,7.527218142511456,0.15867249626666308,2.2650334417819975,0.0,2.638923755288124,2.638194572925568,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,2,8.014028447951489,0.17068699553608893,2.250384982228279,0.0,2.639298815727234,2.640320518016815,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,3,8.500838753391522,0.1798067452944815,2.236191220283508,0.0,2.6386827480793,2.6389566802978517,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,4,8.987649058831554,0.18979399548843504,2.223125560283661,0.0,2.6394523572921753,2.639474015235901,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,5,9.474459364271587,0.20085824528709054,2.2075996029376985,0.0,2.6391420936584473,2.640470952987671,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,6,9.961269669711617,0.21043799463659524,2.1918766582012177,0.0,2.6392301219701766,2.638899397850037,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,7,10.44807997515165,0.21973374458029865,2.1763197100162506,0.0,2.6399655771255492,2.6395207238197327,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,8,10.934890280591683,0.22868024408817292,2.1609005624055864,0.0,2.6389585047960282,2.640921268463135,2.5,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,9,11.384102372721015,0.23591424357146024,2.146907707750797,0.0,2.6392345374822614,2.639863204956055,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,10,11.509849499608084,0.24391324404627085,2.1309224662184714,0.0,2.6386721539497375,2.6379683065414428,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,11,11.63559662649515,0.2517632442712784,2.115296906530857,0.0,2.638837102651596,2.641016731262207,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,12,11.761343753382219,0.26228824332356454,2.0970565241575243,0.0,2.6390531921386717,2.6398391485214234,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,13,11.887090880269287,0.27050949301570654,2.0799707224965096,0.0,2.638978807926178,2.6400714325904846,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,14,12.012838007156354,0.2771587422862649,2.063054249584675,0.0,2.6388951379060743,2.640231800079346,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,15,12.138585134043423,0.2848779930919409,2.0461850091814995,0.0,2.639521670937538,2.6390882992744444,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,16,12.26433226093049,0.29458324298262595,2.0263415440917014,0.0,2.638947460055351,2.638098156452179,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,17,12.390079387817558,0.30144574228674176,2.0101220953464507,0.0,2.639164797067642,2.640786907672882,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,18,12.515826514704624,0.3092877419292927,1.9933381244540214,0.0,2.6394413018226626,2.6389505672454834,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,19,12.641573641591693,0.3161607412621379,1.9761394795775413,0.0,2.6394720774888993,2.638950719833374,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,20,12.76732076847876,0.32309724159538744,1.9607017388939858,0.0,2.639656746983528,2.640218849182129,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,21,12.893067895365828,0.33069874189794063,1.942104209959507,0.0,2.6393662911653517,2.6390242910385133,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,22,13.018815022252895,0.33821099132299426,1.9232001930475235,0.0,2.640209443569183,2.638665933609009,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,23,13.144562149139963,0.3448134907707572,1.9064920437335968,0.0,2.6393315118551253,2.639042339324951,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,24,13.27030927602703,0.35168599121272565,1.8880468979477882,0.0,2.6387099754810333,2.6397725319862366,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,25,13.396056402914098,0.3581277410686016,1.8711976593732833,0.0,2.639463819861412,2.639431059360504,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,26,13.521803529801165,0.36338474094867707,1.8562188896536826,0.0,2.6395845144987105,2.6397680187225343,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,27,13.647550656688233,0.37118224054574966,1.836939431130886,0.0,2.6386059808731077,2.6389284563064574,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,28,13.7732977835753,0.37675924055278304,1.8217565962672233,0.0,2.639550558924675,2.639625074863434,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,29,13.899044910462369,0.3833792401477695,1.804302540719509,0.0,2.6399095606803895,2.638309998512268,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,30,14.024792037349435,0.3891722395643592,1.7864655676484107,0.0,2.6391741436719895,2.639504051208496,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,31,14.150539164236504,0.3946697401255369,1.770034834742546,0.0,2.6398626029491425,2.640239405632019,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,32,14.27628629112357,0.40081449031829836,1.7533586433529853,0.0,2.6396820944547654,2.6394989395141604,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,33,14.402033418010639,0.4073732394725084,1.7357574626803398,0.0,2.6392771196365357,2.639402062892914,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,34,14.527780544897707,0.41438423983752726,1.7193333098292352,0.0,2.639697843194008,2.6383658957481386,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,35,14.653527671784774,0.4194869895279407,1.7046035486459732,0.0,2.6392898136377334,2.640491633415222,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,36,14.77927479867184,0.4260839891433716,1.687946718931198,0.0,2.6394135320186614,2.638568298816681,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,37,14.90502192555891,0.4313949889689684,1.673403152525425,0.0,2.6400806921720505,2.6383427357673646,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,38,15.030769052445978,0.4376107389479876,1.6561353662610054,0.0,2.6393090546131135,2.639626965522766,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,39,15.156516179333044,0.44426023952662946,1.6394241434335708,0.0,2.6392508912086488,2.639918782711029,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,40,15.282263306220111,0.44998248808085917,1.6243401816487313,0.0,2.6393036699295043,2.6379191732406615,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,41,15.408010433107181,0.45552873812615874,1.6089947444200516,0.0,2.639213759303093,2.6382872915267943,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,42,15.533757559994248,0.4626652394235134,1.5919504380226135,0.0,2.639368611574173,2.6405035614967347,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,43,15.659504686881315,0.46716348864138124,1.5793106031417847,0.0,2.6396438813209535,2.639871525764465,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,44,15.785251813768381,0.47122823864221575,1.5668050822615625,0.0,2.638914651274681,2.6385197377204896,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,45,15.910998940655448,0.47594298705458643,1.5531477272510528,0.0,2.6398751109838487,2.639088752269745,2.0,1.0,0.0
dp-fedavg,scale,mnist,42,500,100,0.5,0.0234,0.05,iid,1.0,50,46,16.03674606754252,0.48104198820888994,1.5379131034016609,0.0,2.6391469407081605,2.6404837226867675,2.0,1.0,0.0
